"Date","Price","Open","High","Low","Change %"
"Jul 24, 2022","5.4987","5.4987","5.4987","5.4987","0.03%"
"Jul 22, 2022","5.4968","5.4993","5.5047","5.4349","0.00%"
"Jul 21, 2022","5.4968","5.4720","5.5152","5.4289","0.46%"
"Jul 20, 2022","5.4714","5.4144","5.4729","5.3889","1.07%"
"Jul 19, 2022","5.4135","5.4381","5.4381","5.3646","-0.44%"
"Jul 18, 2022","5.4375","5.4092","5.4392","5.3517","0.54%"
"Jul 15, 2022","5.4082","5.4239","5.4492","5.3745","-0.28%"
"Jul 14, 2022","5.4233","5.3930","5.4906","5.3930","0.59%"
"Jul 13, 2022","5.3917","5.4377","5.4667","5.3609","-0.83%"
"Jul 12, 2022","5.4368","5.3786","5.4434","5.3695","1.09%"
"Jul 11, 2022","5.3782","5.2551","5.3864","5.2551","2.37%"
"Jul 08, 2022","5.2536","5.3399","5.3696","5.2501","-1.60%"
"Jul 07, 2022","5.3391","5.4299","5.4303","5.3296","-1.65%"
"Jul 06, 2022","5.4287","5.3870","5.4627","5.3870","0.79%"
"Jul 05, 2022","5.3861","5.3299","5.4043","5.3287","1.07%"
"Jul 04, 2022","5.3293","5.3307","5.3352","5.2871","-0.03%"
"Jul 01, 2022","5.3310","5.2569","5.3402","5.2527","1.42%"
"Jun 30, 2022","5.2562","5.1828","5.2715","5.1779","1.44%"
"Jun 29, 2022","5.1818","5.2680","5.2734","5.1754","-1.63%"
"Jun 28, 2022","5.2675","5.2387","5.2792","5.1876","0.59%"
"Jun 27, 2022","5.2366","5.2423","5.2755","5.2018","-0.10%"
"Jun 24, 2022","5.2417","5.2393","5.2763","5.2027","0.02%"
"Jun 23, 2022","5.2406","5.1944","5.2477","5.1659","0.90%"
"Jun 22, 2022","5.1940","5.1255","5.1962","5.1255","1.33%"
"Jun 21, 2022","5.1257","5.1905","5.1910","5.1167","-1.20%"
"Jun 20, 2022","5.1880","5.1534","5.1944","5.1361","0.70%"
"Jun 17, 2022","5.1518","5.0540","5.1561","5.0540","1.95%"
"Jun 16, 2022","5.0535","5.0538","5.0551","5.0538","-0.00%"
"Jun 15, 2022","5.0536","5.1178","5.1350","5.0176","-1.24%"
"Jun 14, 2022","5.1168","5.1151","5.1519","5.0859","0.03%"
"Jun 13, 2022","5.1154","4.9890","5.1383","4.9890","2.58%"
"Jun 10, 2022","4.9865","4.9048","5.0124","4.8815","1.67%"
"Jun 09, 2022","4.9048","4.8998","4.9201","4.8664","0.12%"
"Jun 08, 2022","4.8988","4.8712","4.9082","4.8450","0.60%"
"Jun 07, 2022","4.8696","4.7958","4.9352","4.7913","1.57%"
"Jun 06, 2022","4.7945","4.7765","4.8073","4.7467","0.44%"
"Jun 03, 2022","4.7734","4.7970","4.8321","4.7715","-0.48%"
"Jun 02, 2022","4.7962","4.8169","4.8169","4.7710","-0.39%"
"Jun 01, 2022","4.8151","4.7319","4.8180","4.7218","1.77%"
"May 31, 2022","4.7315","4.7538","4.7793","4.6975","-0.44%"
"May 30, 2022","4.7526","4.7311","4.7568","4.6904","0.49%"
"May 27, 2022","4.7295","4.7700","4.7818","4.7147","-0.80%"
"May 26, 2022","4.7677","4.8260","4.8442","4.7501","-1.24%"
"May 25, 2022","4.8275","4.8190","4.8644","4.8047","0.17%"
"May 24, 2022","4.8191","4.8125","4.8548","4.7750","0.13%"
"May 23, 2022","4.8130","4.8797","4.8797","4.7847","-1.35%"
"May 20, 2022","4.8788","4.9314","4.9314","4.8519","-1.06%"
"May 19, 2022","4.9309","4.9688","4.9694","4.8790","-0.75%"
"May 18, 2022","4.9682","4.9372","5.0005","4.9197","0.60%"
"May 17, 2022","4.9387","5.0617","5.0617","4.9261","-2.40%"
"May 16, 2022","5.0599","5.0647","5.1045","5.0307","-0.01%"
"May 13, 2022","5.0602","5.1347","5.1502","5.0455","-1.44%"
"May 12, 2022","5.1339","5.1380","5.2102","5.1050","-0.07%"
"May 11, 2022","5.1373","5.1328","5.1717","5.0910","0.12%"
"May 10, 2022","5.1313","5.1622","5.1666","5.1090","-0.59%"
"May 09, 2022","5.1617","5.0784","5.1625","5.0784","1.66%"
"May 06, 2022","5.0774","5.0293","5.1150","5.0070","0.98%"
"May 05, 2022","5.0280","4.9200","5.0589","4.9173","2.20%"
"May 04, 2022","4.9198","4.9563","5.0368","4.8921","-0.78%"
"May 03, 2022","4.9584","5.0841","5.0841","4.9559","-2.49%"
"May 02, 2022","5.0848","4.9692","5.0940","4.9657","2.27%"
"Apr 29, 2022","4.9721","4.9404","4.9819","4.8588","0.60%"
"Apr 28, 2022","4.9425","4.9654","5.0461","4.9351","-0.46%"
"Apr 27, 2022","4.9651","4.9992","5.0405","4.9277","-0.68%"
"Apr 26, 2022","4.9989","4.8777","5.0023","4.8777","2.51%"
"Apr 25, 2022","4.8766","4.7974","4.9490","4.7974","1.73%"
"Apr 22, 2022","4.7937","4.6214","4.8393","4.6214","3.71%"
"Apr 21, 2022","4.6220","4.6224","4.6225","4.6224","0.00%"
"Apr 20, 2022","4.6219","4.6663","4.6803","4.6080","-0.98%"
"Apr 19, 2022","4.6675","4.6536","4.6866","4.6379","0.32%"
"Apr 18, 2022","4.6527","4.6971","4.7091","4.6438","-0.93%"
"Apr 15, 2022","4.6965","4.6971","4.6971","4.6970","-0.10%"
"Apr 14, 2022","4.7013","4.6880","4.7417","4.6854","0.24%"
"Apr 13, 2022","4.6899","4.6780","4.7056","4.6512","0.35%"
"Apr 12, 2022","4.6735","4.6892","4.6958","4.6215","-0.45%"
"Apr 11, 2022","4.6944","4.7056","4.7397","4.6783","-0.06%"
"Apr 08, 2022","4.6970","4.7534","4.7950","4.6935","-1.17%"
"Apr 07, 2022","4.7524","4.7093","4.7733","4.6894","0.77%"
"Apr 06, 2022","4.7161","4.6523","4.7263","4.6460","1.41%"
"Apr 05, 2022","4.6506","4.5950","4.6742","4.5805","1.26%"
"Apr 04, 2022","4.5928","4.6595","4.6751","4.5885","-1.39%"
"Apr 01, 2022","4.6575","4.7408","4.7408","4.6525","-1.72%"
"Mar 31, 2022","4.7390","4.7709","4.7965","4.7215","-0.62%"
"Mar 30, 2022","4.7685","4.7580","4.7924","4.7252","0.26%"
"Mar 29, 2022","4.7561","4.7680","4.7850","4.7148","-0.24%"
"Mar 28, 2022","4.7675","4.7526","4.8196","4.7326","0.54%"
